  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      306        3.683        4.334            0      322.448       68.370       93.824
      307        4.116        4.262            0      329.728       44.129       97.423
      308        3.888        4.415            0      321.998       70.680       97.261
      309        3.798        4.553            0      332.876       81.703       97.399
      310        3.409        4.580            0      334.575       48.335       93.493
      311        3.670        4.338            0      328.096       65.910       93.576
      312        3.608        4.557            0      334.576       64.264       95.821
      313        4.018        4.289            0      325.847       40.498       93.084
      314        3.462        4.604            0      346.686       96.224       99.634
      315        3.076        4.848            0      339.687       99.675       97.026
      316        3.196        4.839            0      341.061       68.194       98.785
      317        3.357        4.832            0      345.186       47.923       96.467
      318        3.520        4.685            0      346.810       64.986       97.507
      319        3.724        4.607            0      343.719       75.126       98.539
      320        3.827        4.496            0      336.991       76.697       99.349
      321        3.699        4.536            0      333.679       52.120       96.367
      322        3.445        4.791            0      352.468       65.126       95.817
      323        3.442        4.722            0      344.275       57.245       97.205
      324        3.233        4.888            0      344.734       66.774       96.408
      325        3.291        4.920            0      352.525       67.092       97.257
      326        3.268        4.893            0      342.118       76.601       96.810
      327        3.012        4.932            0      346.014       80.478       97.181
      328        3.299        4.726            0      333.600       68.526       95.934
      329        3.541        4.871            0      347.036       86.617       96.426
      330        3.505        4.759            0      336.327      102.086       95.521
      331        3.315        4.723            0      346.446       82.654       96.098
      332        3.420        4.737            0      344.256      122.828       94.689
      333        3.532        4.467            0      324.748      113.105       96.870
      334        3.545        4.508            0      332.246      130.121       97.012
      335        3.832        4.430            0      330.654      116.161       93.232
      336        2.673        5.109            0      346.519      121.538       97.814
      337        3.684        4.644            0      328.801      124.927       98.510
      338        3.448        4.663            0      343.946      100.016       98.267
      339        3.341        4.989            0      355.259       89.688      100.733
      340        3.638        4.559            0      338.623       64.631       95.995
      341        3.338        4.731            0      342.691       63.104       97.633
      342        3.295        4.629            0      339.975       85.376       97.321
      343        3.639        4.601            0      348.371       75.228       96.690
      344        3.622        4.683            0      352.769       74.055       95.810
      345        3.810        4.481            0      342.174       61.281       95.655
      346        3.724        4.457            0      334.371       78.330       98.189
      347        3.662        4.645            0      347.975       85.480       96.497
